Question,Option1,Option2,Option3,Option4,CorrectAnswer,Level,Chapter
"Who wrote 'Pride and Prejudice'?","Jane Austen","Charles Dickens","Mark Twain","Emily Brontë","Option1","Beginner","English Literature"
"Which character is the protagonist in 'Moby Dick'?","Captain Ahab","Ishmael","Queequeg","Starbuck","Option2","Beginner","English Literature"
"Who wrote '1984'?","George Orwell","Aldous Huxley","Ray Bradbury","J.D. Salinger","Option1","Beginner","English Literature"
"Who is the author of 'Hamlet'?","William Shakespeare","Christopher Marlowe","Ben Jonson","John Milton","Option1","Beginner","English Literature"
"What is the title of the first Harry Potter book?","Harry Potter and the Goblet of Fire","Harry Potter and the Chamber of Secrets","Harry Potter and the Philosopher's Stone","Harry Potter and the Prisoner of Azkaban","Option3","Beginner","English Literature"
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","Ernest Hemingway","John Steinbeck","William Faulkner","Option1","Beginner","English Literature"
"Which novel features the character 'Atticus Finch'?","To Kill a Mockingbird","The Catcher in the Rye","The Grapes of Wrath","The Scarlet Letter","Option1","Beginner","English Literature"
"Who wrote 'The Catcher in the Rye'?","J.D. Salinger","Harper Lee","Mark Twain","F. Scott Fitzgerald","Option1","Beginner","English Literature"
"Who wrote 'Jane Eyre'?","Charlotte Brontë","Jane Austen","Emily Brontë","Louisa May Alcott","Option1","Beginner","English Literature"
"Which book features 'The White Whale'?","Moby Dick","Treasure Island","20,000 Leagues Under the Sea","The Old Man and the Sea","Option1","Beginner","English Literature"
"Who wrote 'The Hobbit'?","J.R.R. Tolkien","C.S. Lewis","George R.R. Martin","Philip Pullman","Option1","Beginner","English Literature"
"Who wrote 'Little Women'?","Louisa May Alcott","Jane Austen","Charlotte Brontë","Emily Brontë","Option1","Beginner","English Literature"
"Which novel is set in the fictional town of Maycomb?","To Kill a Mockingbird","The Great Gatsby","1984","Brave New World","Option1","Beginner","English Literature"
"Who wrote 'Frankenstein'?","Mary Shelley","Bram Stoker","Robert Louis Stevenson","H.G. Wells","Option1","Beginner","English Literature"
"Who is the author of 'Great Expectations'?","Charles Dickens","Jane Austen","Mark Twain","George Eliot","Option1","Beginner","English Literature"
"Which novel features the character 'Hester Prynne'?","The Scarlet Letter","Moby Dick","Pride and Prejudice","Wuthering Heights","Option1","Beginner","English Literature"
"Who wrote 'Wuthering Heights'?","Emily Brontë","Charlotte Brontë","Anne Brontë","Jane Austen","Option1","Beginner","English Literature"
"Who wrote 'The Adventures of Tom Sawyer'?","Mark Twain","Charles Dickens","Ernest Hemingway","John Steinbeck","Option1","Beginner","English Literature"
"Who is the author of 'Brave New World'?","Aldous Huxley","George Orwell","Ray Bradbury","Philip K. Dick","Option1","Beginner","English Literature"
"Which novel features 'Winston Smith'?","1984","Brave New World","Fahrenheit 451","The Handmaid's Tale","Option1","Beginner","English Literature"
